[2026-08-12 09:55:55] NEAR MISS - would be BUY 2/4, 1 short @ 4414.53 | RSI 62.92 | Trend(H1) UP | reasons: RSI healthy/bullish at 62.9, H1 trend is UP
[2026-08-12 15:13:13] NEAR MISS - would be BUY 2/4, 1 short @ 4421.41 | RSI 52.02 | Trend(H1) UP | reasons: RSI healthy/bullish at 52.0, H1 trend is UP
[2026-08-12 16:09:55] NEAR MISS - would be BUY 2/4, 1 short @ 4421.24 | RSI 51.22 | Trend(H1) UP | reasons: RSI healthy/bullish at 51.2, H1 trend is UP
[2026-08-12 17:10:48] NEAR MISS - would be BUY 2/4, 1 short @ 4401.78 | RSI 38.31 | Trend(H1) UP | reasons: Price near support (4398.59), H1 trend is UP
[2026-08-12 18:06:19] NEAR MISS - would be BUY 2/4, 1 short @ 4399.84 | RSI 38.4 | Trend(H1) UP | reasons: Price near support (4398.59), H1 trend is UP
[2026-08-12 20:08:48] NEAR MISS - would be BUY 2/4, 1 short @ 4411.32 | RSI 47.86 | Trend(H1) UP | reasons: Price near support (4411.01), H1 trend is UP
[2026-08-12 21:01:20] NEAR MISS - would be BUY 2/4, 1 short @ 4409.05 | RSI 46.22 | Trend(H1) UP | reasons: Price near support (4408.78), H1 trend is UP
[2026-08-12 22:01:05] SUPPRESSED (volatility) - would have been BUY 3/4 @ 4408.82 | ATR 5.305 vs baseline 9.24 (ratio 0.7) | reasons: MACD bullish crossover, Price near support (4408.78), H1 trend is UP
[2026-08-12 22:59:28] NEAR MISS - would be BUY 2/4, 1 short @ 4400.32 | RSI 36.54 | Trend(H1) UP | reasons: Price near support (4398.31), H1 trend is UP
[2026-08-12 23:48:57] SUPPRESSED (volatility) - would have been BUY 3/4 @ 4409.04 | ATR 4.728 vs baseline 9.061 (ratio 0.7) | reasons: RSI healthy/bullish at 50.6, Price near support (4408.78), H1 trend is UP
[2026-08-13 01:22:53] NEAR MISS - would be BUY 2/4, 1 short @ 4430.41 | RSI 63.34 | Trend(H1) UP | reasons: RSI healthy/bullish at 63.3, H1 trend is UP
[2026-08-13 03:38:14] NEAR MISS - would be BUY 2/4, 1 short @ 4409.3 | RSI 46.49 | Trend(H1) UP | reasons: Price near support (4408.78), H1 trend is UP
[2026-08-13 05:22:51] NEAR MISS - would be BUY 2/4, 1 short @ 4402.83 | RSI 45.19 | Trend(H1) UP | reasons: Price near support (4399.86), H1 trend is UP
[2026-08-13 06:54:52] NEAR MISS - would be BUY 2/4, 1 short @ 4373.99 | RSI 28.52 | Trend(H1) UP | reasons: Price near support (4369.40), H1 trend is UP
[2026-08-13 08:14:47] NEAR MISS - would be BUY 2/4, 1 short @ 4370.49 | RSI 30.37 | Trend(H1) UP | reasons: Price near support (4369.40), H1 trend is UP
[2026-08-13 09:34:53] NEAR MISS - would be SELL 2/4, 1 short @ 4380.8 | RSI 44.95 | Trend(H1) UP | reasons: RSI healthy/bearish at 44.9, Price near resistance (4381.47)
[2026-08-13 10:43:31] NEAR MISS - would be BUY 2/4, 1 short @ 4387.07 | RSI 52.02 | Trend(H1) UP | reasons: RSI healthy/bullish at 52.0, H1 trend is UP
[2026-08-13 11:29:48] NEAR MISS - would be BUY 2/4, 1 short @ 4392.7 | RSI 57.4 | Trend(H1) UP | reasons: RSI healthy/bullish at 57.4, H1 trend is UP
[2026-08-13 12:12:21] NEAR MISS - would be BUY 2/4, 1 short @ 4387.3 | RSI 50.76 | Trend(H1) UP | reasons: RSI healthy/bullish at 50.8, H1 trend is UP
